x0000,y0000
604.287415,4830.
604.375305,4837.
604.463074,4761.
604.550903,4765.
604.638855,4742.
604.726624,4657.
604.814392,4684.
604.902222,4744.
604.990051,4778.
605.07782,4647.
605.165588,4665.
605.253296,4670.
605.341125,4726.
605.428894,4718.
605.516602,4721.
605.60437,4901.
605.692078,4765.
605.779846,4802.
605.867554,4723.
605.9552,4782.
606.042908,4783.
606.130615,4748.
606.218262,4675.
606.305908,4638.
606.393555,4689.
606.481262,4586.
606.568909,4714.
606.656494,4528.
606.744202,4583.
606.831726,4586.
606.919373,4698.
607.006958,4744.
607.094543,4636.
607.18219,4653.
607.269714,4505.
607.357239,4651.
607.444763,4585.
607.53241,4556.
607.619934,4543.
607.707458,4515.
607.794922,4440.
607.882446,4482.
607.969971,4490.
608.057434,4480.
608.144958,4543.
608.232422,4561.
608.319885,4569.
608.407349,4529.
608.494751,4681.
608.582275,4580.
608.669678,4557.
608.75708,4646.
608.844482,4605.
608.931885,4568.
609.019287,4548.
609.106689,4560.
609.194031,4529.
609.281433,4480.
609.368835,4499.
609.456116,4525.
609.543457,4517.
609.630737,4477.
609.71814,4482.
609.805481,4631.
609.892761,4566.
609.980103,4622.
610.067383,4559.
610.154602,4488.
610.241882,4522.
610.329163,4547.
610.416382,4503.
610.503662,4473.
610.590881,4531.
610.678101,4420.
610.76532,4422.
610.852539,4428.
610.939697,4434.
611.026855,4449.
611.114136,4402.
611.201294,4441.
611.288452,4476.
611.37561,4555.
611.462646,4460.
611.549866,4456.
611.637024,4521.
611.724121,4497.
